Company_Names,Jobs,Salery,Location,Industry,About,Review,Rating
TCS,3.5k,9.9L, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +439 other locations,1.1L,3.3
Accenture,28.9k,6.6L, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +257 other locations,72.4k,3.7
Wipro,445,4.8L, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +371 other locations,64.4k,3.6
Cognizant,468,6L, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +232 other locations,60.7k,3.7
Capgemini,2.6k,4.8L, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +182 other locations,52.3k,3.7
HDFC Bank,381,1.5L, Mumbai ,Banking,Banking | Mumbai +1839 other locations,51.5k,3.8
Infosys,2.5k,5.2L, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +248 other locations,48.1k,3.5
ICICI Bank,15,1.5L, Mumbai ,Banking,Banking | Mumbai +1441 other locations,45.4k,3.9
HCLTech,277,3.8L, Chennai ,IT Services & Consulting,IT Services & Consulting | Chennai +232 other locations,45.3k,3.4
Tech Mahindra,665,2.8L, Hyderabad ,IT Services & Consulting,IT Services & Consulting | Hyderabad +331 other locations,42.8k,3.4
Genpact,904,2.3L, Hyderabad ,Analytics & KPO,Analytics & KPO | Hyderabad +181 other locations,41.5k,3.6
TP,2.1k,97.4k, Mumbai ,BPO,BPO | Mumbai +256 other locations,37.7k,3.8
Jio,1,62.6k, Mumbai ,Telecom,Telecom | Mumbai +1970 other locations,33.4k,4.4
Axis Bank,230,1L, Mumbai ,Banking,Banking | Mumbai +1513 other locations,32.7k,3.6
Concentrix Corporation,39,1.3L, Bengaluru ,BPO,BPO | Bengaluru +179 other locations,31.8k,3.6
Amazon,2.1k,1.5L, Bengaluru ,Internet,Internet | Bengaluru +522 other locations,31.2k,3.9
Reliance Retail,138,76.8k, Mumbai ,Retail,Retail | Mumbai +1156 other locations,27.2k,3.9
iEnergizer,80,24.4k, Noida ,BPO,BPO | Noida +52 other locations,27.1k,4.6
LTIMindtree,354,1.9L, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +145 other locations,26.1k,3.6
IBM,1.7k,2.1L, Bengaluru ,IT Services & Consulting,IT Services & Consulting | Bengaluru +161 other locations,25.5k,3.9
HDB Financial Services,2.1k,49.3k, Mumbai ,NBFC,NBFC | Mumbai +1093 other locations,25.4k,3.9
Larsen & Toubro Limited,80,75.3k, Chennai ,Engineering & Construction,Engineering & Construction | Chennai +761 other locations,23.6k,3.9
Deloitte,1.7k,2.5L, Hyderabad ,Management Consulting,Management Consulting | Hyderabad +189 other locations,22.8k,3.7
Kotak Mahindra Bank,156,87.1k, Mumbai ,Banking,Banking | Mumbai +688 other locations,22.2k,3.6
Reliance Industries,85,73.1k, Jamnagar ,Oil & Gas,Oil & Gas | Jamnagar +819 other locations,20k,4.0
Vodafone Idea,63,49.6k, Pune ,Telecom,Telecom | Pune +707 other locations,17.5k,3.9
Bharti Airtel,191,49.7k, Gurugram ,Telecom,Telecom | Gurugram +795 other locations,17k,3.8
BYJU'S,1,53.4k, Bengaluru ,EdTech,EdTech | Bengaluru +322 other locations,16.4k,3.2
WNS,104,69.9k, Pune ,IT Services & Consulting,IT Services & Consulting | Pune +66 other locations,15k,3.3
IDFC FIRST Bank,43,49.3k, Mumbai ,Banking,Banking | Mumbai +719 other locations,14.3k,3.9
Ernst & Young,4.6k,1.4L, Bengaluru ,Management Consulting,Management Consulting | Bengaluru +132 other locations,14.3k,3.4
Tata Motors,159,42.9k, Pune ,Automobile,Automobile | Pune +508 other locations,14.1k,4.1
